ts,swod_held_groups,swod_skip_cnt,swod_hold_cnt,swod_success_release_cnt
2026-04-06 04:55:32,0,21432,96804,61868
2026-04-06 04:55:33,0,21432,96804,61868
2026-04-06 04:55:34,0,21432,96804,61868
2026-04-06 04:55:35,0,21432,96804,61868
2026-04-06 04:55:36,0,21432,96804,61868
2026-04-06 04:55:37,0,21432,96804,61868
2026-04-06 04:55:38,55,21443,96897,61868
2026-04-06 04:55:39,55,21510,97159,61868
2026-04-06 04:55:41,53,21653,97432,61868
2026-04-06 04:55:42,53,21818,97690,61868
2026-04-06 04:55:43,62,22056,97931,61868
2026-04-06 04:55:44,54,22340,98165,61868
2026-04-06 04:55:45,44,22638,98370,61868
2026-04-06 04:55:46,59,22933,98577,61868
2026-04-06 04:55:47,45,23235,98774,61868
2026-04-06 04:55:48,35,23541,98949,61868
2026-04-06 04:55:49,45,23875,99139,61868
2026-04-06 04:55:50,41,24257,99308,61868
2026-04-06 04:55:51,36,24654,99466,61868
2026-04-06 04:55:52,36,24997,99619,61868
2026-04-06 04:55:53,39,25385,99777,61868
2026-04-06 04:55:54,37,25762,99928,61868
2026-04-06 04:55:55,36,26109,100090,61868
2026-04-06 04:55:56,34,26453,100234,61868
2026-04-06 04:55:57,29,26816,100364,61868
2026-04-06 04:55:58,39,27165,100507,61868
2026-04-06 04:55:59,32,27470,100618,61868
2026-04-06 04:56:00,15,27745,100781,61910
2026-04-06 04:56:01,19,28047,101160,62176
2026-04-06 04:56:02,1,28283,109645,70621
2026-04-06 04:56:03,0,28283,111825,72793
2026-04-06 04:56:04,0,28283,112976,73942
2026-04-06 04:56:05,0,28283,113870,74836
2026-04-06 04:56:06,1,28283,114612,75577
2026-04-06 04:56:07,0,28283,115243,76208
2026-04-06 04:56:08,0,28283,115808,76772
2026-04-06 04:56:09,0,28283,116316,77281
2026-04-06 04:56:10,0,28283,116792,77757
2026-04-06 04:56:11,0,28283,117257,78222
2026-04-06 04:56:12,0,28283,117687,78651
2026-04-06 04:56:13,0,28283,118076,79040
2026-04-06 04:56:14,0,28283,118470,79434
2026-04-06 04:56:15,64,28283,118903,79563
2026-04-06 04:56:16,64,28283,119398,79563
2026-04-06 04:56:17,64,28283,119881,79563
2026-04-06 04:56:18,64,28283,120423,79563
2026-04-06 04:56:19,64,28283,120976,79563
2026-04-06 04:56:20,64,28283,121546,79563
2026-04-06 04:56:21,64,28283,122137,79563
2026-04-06 04:56:22,64,28283,122746,79563
2026-04-06 04:56:23,53,28283,123389,79563
2026-04-06 04:56:24,0,28283,123389,79563
2026-04-06 04:56:25,0,28283,123389,79563
2026-04-06 04:56:26,0,28283,123389,79563
2026-04-06 04:56:27,0,28283,123389,79563
2026-04-06 04:56:28,52,28332,123670,79563
2026-04-06 04:56:29,64,28357,125214,80344
2026-04-06 04:56:30,64,28399,126879,81198
2026-04-06 04:56:31,64,28434,128615,82053
2026-04-06 04:56:32,64,28482,130313,82857
2026-04-06 04:56:33,64,28519,131876,83554
2026-04-06 04:56:34,64,28576,133288,84103
