ts,swod_hold_cnt,swod_success_release_cnt,swod_timeout_release_cnt,swod_pressure_release_cnt,swod_held_groups,swod_skip_cnt,back,mem_available_kb,min_mem_available_kb
2026-04-08 07:33:38,0,0,0,0,0,0,17852272,192151304,192145120
2026-04-08 07:33:39,0,0,0,0,0,0,17706495,192150844,192145120
2026-04-08 07:33:40,0,0,0,0,0,0,17565330,192154512,192145120
2026-04-08 07:33:41,0,0,0,0,0,0,17405492,192151036,192145120
2026-04-08 07:33:42,0,0,0,0,0,0,17255482,192151096,192145120
2026-04-08 07:33:43,0,0,0,0,0,0,17095767,192151544,192145120
2026-04-08 07:33:44,0,0,0,0,0,0,16927446,192150376,192145120
2026-04-08 07:33:45,0,0,0,0,0,0,16762731,192151432,192145120
2026-04-08 07:33:46,0,0,0,0,0,0,16584130,192151728,192145120
2026-04-08 07:33:47,0,0,0,0,0,0,16377435,192150972,192145120
2026-04-08 07:33:48,0,0,0,0,0,0,16183909,192148504,192145120
2026-04-08 07:33:49,0,0,0,0,0,0,15970837,192148044,192145120
2026-04-08 07:33:50,0,0,0,0,0,0,15729535,192148376,192145120
2026-04-08 07:33:52,0,0,0,0,0,0,15499200,192147784,192145120
2026-04-08 07:33:53,0,0,0,0,0,0,15210686,192149136,192145120
2026-04-08 07:33:54,0,0,0,0,0,0,14930760,192148128,192145120
2026-04-08 07:33:55,0,0,0,0,0,0,41454571,192147340,192145120
2026-04-08 07:33:56,0,0,0,0,0,0,41332715,192146604,192145120
2026-04-08 07:33:57,0,0,0,0,0,0,41199083,192145240,192145120
2026-04-08 07:33:58,0,0,0,0,0,0,41054699,192145028,192145028
2026-04-08 07:33:59,0,0,0,0,0,0,40916459,192143704,192143704
2026-04-08 07:34:00,0,0,0,0,0,0,40746475,192144556,192143704
2026-04-08 07:34:01,0,0,0,0,0,0,40574955,192143588,192143588
2026-04-08 07:34:02,0,0,0,0,0,0,40398827,192144640,192143588
2026-04-08 07:34:03,0,0,0,0,0,0,40188395,192143224,192143224
2026-04-08 07:34:04,0,0,0,0,0,0,39954923,192144604,192143224
2026-04-08 07:34:05,0,0,0,0,0,0,39688683,192146008,192143224
2026-04-08 07:34:07,0,0,0,0,0,0,39420395,192128924,192128924
2026-04-08 07:34:08,0,0,0,0,0,0,39048171,192074116,192074116
2026-04-08 07:34:09,0,0,0,0,0,0,38575083,192145196,192074116
2026-04-08 07:34:10,0,0,0,0,0,0,37980651,192143036,192074116
2026-04-08 07:34:11,0,0,0,0,0,0,36965355,192142340,192074116
2026-04-08 07:34:12,0,0,0,0,0,0,30587236,192140944,192074116
2026-04-08 07:34:13,0,0,0,0,0,0,30486737,192141024,192074116
2026-04-08 07:34:14,0,0,0,0,0,0,30384215,192140272,192074116
2026-04-08 07:34:15,0,0,0,0,0,0,30275142,192141456,192074116
2026-04-08 07:34:16,0,0,0,0,0,0,30159720,192141848,192074116
2026-04-08 07:34:17,0,0,0,0,0,0,30047188,192142272,192074116
2026-04-08 07:34:18,0,0,0,0,0,0,29929262,192140656,192074116
2026-04-08 07:34:19,0,0,0,0,0,0,29809511,192140728,192074116
2026-04-08 07:34:21,0,0,0,0,0,0,29686531,192141116,192074116
2026-04-08 07:34:22,0,0,0,0,0,0,29561211,192140444,192074116
2026-04-08 07:34:23,0,0,0,0,0,0,29429326,192141684,192074116
2026-04-08 07:34:24,0,0,0,0,0,0,29260677,192140880,192074116
2026-04-08 07:34:25,0,0,0,0,0,0,29088138,192141312,192074116
2026-04-08 07:34:26,0,0,0,0,0,0,37459995,192144380,192074116
2026-04-08 07:34:27,0,0,0,0,0,0,37282331,192143608,192074116
2026-04-08 07:34:28,0,0,0,0,0,0,36997659,192141584,192074116
2026-04-08 07:34:29,0,0,0,0,0,0,36640795,192140280,192074116
2026-04-08 07:34:30,0,0,0,0,0,0,36042779,192139184,192074116
